recipe_id,ingredient_id,unit_id,prep_instructions,user_id,amount
1,10,4,For garnish,1,4
1,14,8,To taste,1,1
1,31,15,For garnish,1,8
1,57,12,,1,2
1,60,15,,1,8
1,69,15,Minced,1,2
1,122,5,Cubed,1,6
1,143,2,Diced,1,1
1,145,15,Cut in halflengthwise and seeds removed,1,4
1,160,8,To taste,1,1
1,187,2,Diced,1,1
1,191,2,Diced,1,1
2,3,5,,1,3 1/2
2,7,2,,1,1/2
2,10,5,,1,1/4
2,68,12,,1,1
2,75,2,,1,1/4
2,109,5,,1,1 1/2
2,125,2,,1,1/4
2,137,9,,1,1
2,157,15,,1,1
2,159,15,,1,2
3,9,2,,1,3/4
3,20,9,,1,3
3,56,2,,1,1
3,114,2,,1,1/2
3,168,2,,1,1
4,9,13,,1,1/2
4,10,5,,1,1 1/2
4,42,12,,1,1
4,69,15,Peeled,1,1
4,98,13,,1,2
4,110,5,Sliced,1,5
4,113,15,,1,4
4,114,12,,1,3
4,125,5,Grated,1,1
4,130,15,"Halved, pits removed",1,2
4,135,12,,1,2
4,176,15,Chopped,1,2
4,191,9,Sliced into rounds,1,1
5,36,13,,1,1/2
5,39,5,,1,1/8
5,53,13,,1,1/2
5,81,5,,1,12
5,92,15,,1,1
5,100,15,,1,1
5,104,2,,1,1 1/4
5,109,5,Shredded,1,1
5,120,13,,1,1/2
5,140,15,,1,2
5,144,5,Crumbled,1,1
5,147,15,,1,1
6,9,13,,1,5
6,14,12,To taste,1,1
6,17,5,,1,8
6,22,12,,1,1
6,30,12,,1,2
6,34,15,,1,1
6,47,2,,1,1/2
6,70,12,,1,2
6,95,12,To taste,1,1
6,142,5,,1,12
6,162,15,,1,2
6,168,13,,1,1/4
6,179,13,,1,3
7,6,5,,1,4
7,46,13,Ground,1,1/4
7,51,15,Can,1,1
7,53,13,Ground,1,1/2
7,54,13,,1,1
7,69,15,,1,2
7,72,12,,1,2
7,73,5,,1,1/2
7,77,12,,1,3
7,83,5,,1,12
7,86,12,,1,2
7,105,13,,1,1
7,129,5,,1,1
8,3,5,,1,4
8,48,5,,1,4
8,69,15,,1,2
8,86,2,,1,1/4
8,97,15,,1,1
8,113,5,,1,2
8,132,2,,1,1
8,133,12,Grated,1,2
8,141,5,,1,8
8,184,2,,1,1/4
9,14,13,,1,1
9,45,13,,1,1
9,50,13,,1,1/4
9,69,15,,1,2
9,78,5,,1,5
