recipe_id,step_number,step_text,user_id
1,1,Preheat oven to 375.,2
1,2,Place bell pepper halves on a baking sheet and roast in the oven for 15-20 minutes.,2
1,3,"Meanwhile, sauté the pancetta and onions together in the duck fat over medium to medium high heat until the onions start to soften and the pancetta begins to crisp. Add the minced garlic, zucchini and mushrooms and sauté until the zucchini are al dente.",2
1,4,"When the bell peppers are out of the oven, drain any moisture from the inside that appeared after roasting, and stuff each bell pepper half with a large scoop of the sautéed pancetta and veggie mixture.",2
1,5,"If your bell peppers are BIG you can crack 2 eggs per bell pepper half on top of the stuffing. Otherwise, use on egg per half.",2
1,6,"Place the stuffed bells in a large casserole dish, cover with foil and bake at 375 for 30-40 minutes or until the egg whites are set. Check after 20 minutes because the heat of your oven may be different than mine.",2
1,7,OPTIONAL – top with fresh torn basil leaves and cherry tomato halves.,2
2,1,"Preheat oven to 450F.  Rinse all the produce.  Cut potatoes crosswise into 1/8-inch slices.  Trim and discard scallion roots and thinly slice.  Roughly chop basil leaves, discarding stems.  Trim and discard woody ends of asparagus and cut into 1-inch pieces.  Crack 2 eggs into 2 separate small bowls.",2
2,2,"Heat 1 tablespoon of olive oil in a large nonstick pan over medium-high heat.  When oil is shimmering, add potato and scallions.  Season with salt and pepper as desired.  Sauté, stirring frequently until potato is beginning to soften (about 6-8 minutes). Remove pan from heat and set aside.",2
2,3,"While potato-scallion hash sautés, sprinkle flour onto a clean dry surface. Using a rolling pin, roll and stretch the dough to about ¼-inch thickness. Rub 1 teaspoon of olive oil onto a parchment-lined backing sheet and carefully add the dough.",2
2,4,"Sprinkle Monterey Jack and 3 tablespoons of Parmesan over the dough, leaving a 1-inch border.  Add asparagus and the hash in an even layer.  If necessary, crumble the goat cheese and dot over pizza evenly.",2
2,5,"Transfer the pizza to the bottom rack of the oven.  Bake until the crust is beginning to color and cheese is beginning to melt (about 7-8 minutes).  Remove and carefully slide 2 eggs on top, spacing evenly apart. Season the eggs with salt and pepper as desired.  Return the pizza to the oven and back until the egg whites are just set (about 7-8 more minutes).  Meanwhile, toss arugula and basil with 1 teaspoon of olive oil and some salt in a small bowl.",2
