name,user_id,global,status
Baked Eggs in a Bell Pepper,1,T,PB
Breakfast Pizza with potato-scallion hash and eggs,1,T,PB
Brussels sprouts balsamic reduction,1,T,PB
Caprese Naan Pizzas,1,T,PB
Cheesy Beef Pupusas with Pico de Gallo,1,T,PB
CHERRY BALSAMIC PORK CHOPS with Garlic Herb Couscous and Roasted Broccoli,1,T,PB
Chicken Meatballs with Curry Tomato Sauce and Greens,1,T,PB
Creamy Porcini Pasta,1,T,PB
Cumin-Spiced Beef and Lamb with Long Life Noodles and Green Beans,1,T,PB
French Onion Soup Burgers with Gruyère and Arugala,1,T,PB
Grilled Ciabatta with Green Garbanzo Beans and Goat Cheese,1,T,PB
Guacamole,1,T,PB
Instant Pot Mississippi Pot Roast,1,T,PB
Pan-Roasted Chicken with baby kale and pattypan squash,1,T,PB
PF Chang's Lettuce Wraps,1,T,PB
Pizza Spaghetti Pie,1,T,PB
Rotisserie Chicken Shawarma Wraps,1,T,PB
Sesame Chicken with roasted broccolini and brown rice,1,T,PB
Skillet Roast Chicken with caramelized fennel and potatoes,1,T,PB
Slow Cooker Thai Beef Stew,1,T,PB
Tarragon Chicken with spring vegetable gratin,1,T,PB
Tex-Mex beef tacos with red pepper salsa,1,T,PB
Turkey and Rice Bake,1,T,PB
